Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1534,1567,1447,1452,1602,1506,1529,1474
B1,1431,1414,1408,1430,1407,1413,1438,1443
B2,1509,1498,1404,1421,1497,1432,1429,1496
B3,1496,1465,1446,3634,1424,1429,1468,1493
B4,1516,1416,1458,1486,1485,1440,1482,1483
B5,1517,1476,1497,1494,1443,1483,1486,1431
B6,1477,1400,1443,1435,1413,3636,1408,1441
B7,1557,1502,1468,1484,1459,1519,1521,1468
B8,1442,431,1461,1503,1505,1410,1471,1513
B9,3404,1382,1416,1393,1416,1443,1428,1420
B10,1419,1446,1436,1434,1437,1428,1419,1413
B11,1479,1502,1482,1565,1484,1445,1453,1472
B12,1472,1420,1443,1450,1460,1443,1453,1480
B13,1460,1434,436,1472,1453,1438,1455,1422
B14,1464,1482,1455,1472,1450,1475,1496,1468
B15,1412,1464,1447,1443,1458,1481,1484,1490
