Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1949,1912,1901,1919,1950,1931,1930,1931
B1,1909,1884,1880,1882,1869,1874,1900,1892
B2,1926,1932,1856,1862,1904,1874,1886,1905
B3,1950,1920,1967,3739,1937,1881,1940,1870
B4,1901,1876,1883,1888,1914,1900,1932,1930
B5,1973,1904,1967,1925,1913,1949,1914,1906
B6,1941,1867,1916,1899,1899,3738,1882,1924
B7,1906,1920,1901,1913,1895,1886,1943,1895
B8,1935,396,1910,1936,1936,1931,1924,1948
B9,3512,1875,1887,1897,1882,1878,1883,1900
B10,1887,1898,1886,1878,1890,1871,1875,1875
B11,1927,1983,1938,1969,1948,1895,1940,1929
B12,1974,1987,1901,1925,1926,1908,1894,1975
B13,1922,1894,403,1945,1927,1899,1905,1874
B14,1935,1893,1892,1916,1926,1920,1926,1872
B15,1892,1929,1953,1920,1944,1965,1940,1940
